Wednesday, February 7, 2024
69180265030000,STATE,Idle,EVENT,none,LOOK_AT,0,0,0,POSITION,0,1.9,0
69180390368000,STATE,Idle,EVENT,none,LOOK_AT,344.0794,26.80322,1.468766,POSITION,0.1688861,1.98953,0.02210733
69180431405000,STATE,Idle,EVENT,none,LOOK_AT,343.9934,26.71133,1.460002,POSITION,0.1685965,1.989732,0.02166349
69180438285000,STATE,Idle,EVENT,none,LOOK_AT,343.9431,26.59007,1.445545,POSITION,0.1682106,1.989863,0.02117926
69180448580000,STATE,Idle,EVENT,none,LOOK_AT,343.8784,26.47143,1.423659,POSITION,0.1678067,1.989978,0.02068014
69180454377000,STATE,Idle,EVENT,none,LOOK_AT,343.8662,26.41738,1.437126,POSITION,0.1676741,1.989992,0.0204965
69180481032000,STATE,Idle,EVENT,none,LOOK_AT,343.8682,26.3394,1.427517,POSITION,0.1673768,1.989881,0.02008229
69180493250000,STATE,Idle,EVENT,none,LOOK_AT,343.84,26.3247,1.414343,POSITION,0.1672307,1.989871,0.01988927
69180508314000,STATE,Idle,EVENT,none,LOOK_AT,343.8139,26.27546,1.415952,POSITION,0.1671088,1.989918,0.01972858
69180521771000,STATE,Idle,EVENT,none,LOOK_AT,343.7862,26.26116,1.395136,POSITION,0.1669976,1.989961,0.01955929
69180535453000,STATE,Idle,EVENT,none,LOOK_AT,343.7936,26.26827,1.361601,POSITION,0.1668888,1.99,0.01936293
69180554585000,STATE,Idle,EVENT,none,LOOK_AT,343.7888,26.26781,1.337048,POSITION,0.1668535,1.990042,0.01920856
69180568211000,STATE,Idle,EVENT,none,LOOK_AT,343.8028,26.26988,1.334005,POSITION,0.1668373,1.990068,0.01907043
69180591158000,STATE,Idle,EVENT,none,LOOK_AT,343.8639,26.28703,1.297622,POSITION,0.1668298,1.990016,0.0189467
69180597385000,STATE,Idle,EVENT,none,LOOK_AT,343.884,26.30245,1.262113,POSITION,0.1667993,1.989995,0.01883637
69180605872000,STATE,Idle,EVENT,none,LOOK_AT,343.8846,26.31899,1.232781,POSITION,0.1667715,1.990006,0.0187343
69180621587000,STATE,Idle,EVENT,none,LOOK_AT,343.8513,26.33981,1.198322,POSITION,0.1667765,1.990018,0.01869276
69180639354000,STATE,Idle,EVENT,none,LOOK_AT,343.9236,26.32431,1.216225,POSITION,0.1668642,1.989831,0.01861642
69180646403000,STATE,Idle,EVENT,none,LOOK_AT,344.0052,26.33423,1.193499,POSITION,0.1669127,1.989697,0.01854393
69180660430000,STATE,Idle,EVENT,none,LOOK_AT,344.1513,26.34812,1.116664,POSITION,0.1669841,1.989493,0.01854959
69180674191000,STATE,Idle,EVENT,none,LOOK_AT,344.3041,26.38894,1.033881,POSITION,0.1671004,1.989238,0.01861884
69180687621000,STATE,Idle,EVENT,none,LOOK_AT,344.4956,26.43633,1.007853,POSITION,0.1672494,1.988969,0.01872361
